1,1,480,600,LSF,Jardinage
2,1,540,720,LPC,Musique
3,1,540,720,LPC,Musique
4,1,540,720,LPC,Musique
5,1,510,630,LSF,Mecanique
6,1,570,750,LSF,Menuiserie
7,1,810,990,LSF,Mecanique
8,1,810,930,LPC,Jardinage
9,1,840,1020,LSF,Electricite
10,1,840,960,LSF,Mecanique
11,1,900,1020,LPC,Mecanique
12,1,930,1110,LPC,Electricite
13,1,990,1110,LPC,Electricite
14,2,510,630,LPC,Mecanique
15,2,510,690,LSF,Electricite
16,2,510,630,LSF,Menuiserie
17,2,540,720,LSF,Jardinage
18,2,570,690,LPC,Jardinage
19,2,540,660,LPC,Electricite
20,2,780,900,LSF,Mecanique
21,2,810,990,LSF,Electricite
22,2,840,1020,LPC,Electricite
23,2,840,1020,LPC,Mecanique
24,2,840,960,LSF,Musique
25,2,900,1020,LPC,Jardinage
26,2,930,1050,LSF,Jardinage
27,3,510,690,LPC,Musique
28,3,540,660,LPC,Mecanique
29,3,540,720,LPC,Mecanique
30,3,540,720,LSF,Mecanique
31,3,540,720,LSF,Jardinage
32,3,540,720,LSF,Musique
33,3,840,1020,LPC,Musique
34,3,870,990,LPC,Mecanique
35,3,900,1020,LSF,Musique
36,3,930,1050,LSF,Menuiserie
37,3,960,1080,LPC,Electricite
38,3,960,1080,LSF,Jardinage
39,4,510,630,LPC,Mecanique
40,4,510,630,LSF,Electricite
41,4,540,660,LPC,Mecanique
42,4,540,660,LPC,Jardinage
43,4,540,660,LSF,Musique
44,4,570,690,LSF,Jardinage
45,4,780,900,LSF,Jardinage
46,4,840,960,LSF,Menuiserie
47,4,840,1020,LSF,Electricite
48,4,930,1050,LPC,Menuiserie
49,4,930,1050,LSF,Musique
50,4,960,1080,LPC,Mecanique
51,4,960,1080,LPC,Electricite
52,5,510,690,LPC,Electricite
53,5,510,630,LSF,Menuiserie
54,5,510,630,LSF,Electricite
55,5,540,660,LPC,Jardinage
56,5,570,690,LSF,Musique
57,5,600,720,LPC,Menuiserie
58,5,810,930,LPC,Mecanique
59,5,780,900,LSF,Electricite
60,5,810,990,LSF,Mecanique
61,5,870,1050,LPC,Mecanique
62,5,870,1050,LPC,Electricite
63,5,900,1020,LSF,Electricite
64,5,960,1080,LPC,Jardinage
65,5,960,1080,LSF,Musique
66,5,1020,1140,LSF,Mecanique
