1,1,480,600,LPC,Musique,8,10
2,1,480,600,LPC,Electricite,8,10
3,1,480,600,LPC,Jardinage,8,10
4,1,690,750,LPC,Mecanique,11.5,12.5
5,1,690,750,LPC,Menuiserie,11.5,12.5
6,1,690,750,LPC,Musique,11.5,12.5
7,1,930,1050,LPC,Electricite,15.5,17.5
8,1,930,1050,LPC,Jardinage,15.5,17.5
9,1,930,1050,LPC,Mecanique,15.5,17.5
10,1,480,600,LSF,Menuiserie,8,10
11,1,480,600,LSF,Musique,8,10
12,1,480,600,LSF,Electricite,8,10
13,1,690,750,LSF,Jardinage,11.5,12.5
14,1,690,750,LSF,Mecanique,11.5,12.5
15,1,690,750,LSF,Menuiserie,11.5,12.5
16,1,930,1050,LSF,Musique,15.5,17.5
17,1,930,1050,LSF,Electricite,15.5,17.5
18,1,930,1050,LSF,Jardinage,15.5,17.5
19,2,540,720,LPC,Mecanique,9,12
20,2,540,720,LPC,Menuiserie,9,12
21,2,540,720,LPC,Musique,9,12
22,2,840,960,LPC,Electricite,14,16
23,2,840,960,LPC,Jardinage,14,16
24,2,840,960,LPC,Mecanique,14,16
25,2,540,720,LSF,Menuiserie,9,12
26,2,540,720,LSF,Musique,9,12
27,2,540,720,LSF,Electricite,9,12
28,2,840,960,LSF,Jardinage,14,16
29,2,840,960,LSF,Mecanique,14,16
30,2,840,960,LSF,Menuiserie,14,16
31,3,510,660,LPC,Musique,8.5,11
32,3,510,660,LPC,Electricite,8.5,11
33,3,810,960,LPC,Jardinage,13.5,16
34,3,810,960,LPC,Mecanique,13.5,16
35,3,810,960,LPC,Menuiserie,13.5,16
36,3,510,660,LSF,Musique,8.5,11
37,3,510,660,LSF,Electricite,8.5,11
38,3,810,960,LSF,Jardinage,13.5,16
39,3,810,960,LSF,Mecanique,13.5,16
40,3,810,960,LSF,Menuiserie,13.5,16
41,4,480,540,LPC,Musique,8,9
42,4,540,600,LPC,Electricite,9,10
43,4,600,660,LPC,Jardinage,10,11
44,4,720,780,LPC,Mecanique,12,13
45,4,840,900,LPC,Menuiserie,14,15
46,4,900,960,LPC,Musique,15,16
47,4,990,1050,LPC,Electricite,16.5,17.5
48,4,1050,1110,LPC,Jardinage,17.5,18.5
49,4,1110,1170,LPC,Mecanique,18.5,19.5
50,4,480,540,LSF,Menuiserie,8,9
51,4,540,600,LSF,Musique,9,10
52,4,600,660,LSF,Electricite,10,11
53,4,720,780,LSF,Jardinage,12,13
54,4,840,900,LSF,Mecanique,14,15
55,4,900,960,LSF,Menuiserie,15,16
56,4,990,1050,LSF,Musique,16.5,17.5
57,4,1050,1110,LSF,Electricite,17.5,18.5
58,4,1110,1170,LSF,Jardinage,18.5,19.5
59,5,480,540,LPC,Mecanique,8,9
60,5,480,540,LPC,Menuiserie,8,9
61,5,480,540,LPC,Musique,8,9
62,5,570,630,LPC,Electricite,9.5,10.5
63,5,570,630,LPC,Jardinage,9.5,10.5
64,5,570,630,LPC,Mecanique,9.5,10.5
65,5,660,720,LPC,Menuiserie,11,12
66,5,660,720,LPC,Musique,11,12
67,5,660,720,LPC,Electricite,11,12
68,5,840,900,LPC,Jardinage,14,15
69,5,840,900,LPC,Mecanique,14,15
70,5,840,900,LPC,Menuiserie,14,15
71,5,930,990,LPC,Musique,15.5,16.5
72,5,930,990,LPC,Electricite,15.5,16.5
73,5,930,990,LPC,Jardinage,15.5,16.5
74,5,1020,1080,LPC,Mecanique,17,18
75,5,1020,1080,LPC,Menuiserie,17,18
76,5,1020,1080,LPC,Musique,17,18
77,5,1110,1170,LPC,Electricite,18.5,19.5
78,5,480,540,LSF,Jardinage,8,9
79,5,480,540,LSF,Mecanique,8,9
80,5,480,540,LSF,Menuiserie,8,9
81,5,570,630,LSF,Musique,9.5,10.5
82,5,570,630,LSF,Electricite,9.5,10.5
83,5,570,630,LSF,Jardinage,9.5,10.5
84,5,660,720,LSF,Mecanique,11,12
85,5,660,720,LSF,Menuiserie,11,12
86,5,660,720,LSF,Musique,11,12
87,5,840,900,LSF,Electricite,14,15
88,5,840,900,LSF,Jardinage,14,15
89,5,840,900,LSF,Mecanique,14,15
90,5,930,990,LSF,Menuiserie,15.5,16.5
91,5,930,990,LSF,Musique,15.5,16.5
92,5,930,990,LSF,Electricite,15.5,16.5
93,5,1020,1080,LSF,Jardinage,17,18
94,5,1020,1080,LSF,Mecanique,17,18
95,5,1020,1080,LSF,Menuiserie,17,18
96,5,1110,1170,LSF,Musique,18.5,19.5
