1,1,540,720,LPC,Musique
2,1,540,720,LPC,Musique
3,1,840,930,LPC,Jardinage
4,1,960,1080,LPC,Electricite
5,1,990,1080,LPC,Electricite
6,1,510,600,LSF,Jardinage
7,1,570,750,LSF,Menuiserie
8,1,840,1020,LSF,Electricite
9,1,840,960,LSF,Mecanique
10,2,510,630,LPC,Mecanique
11,2,570,690,LPC,Jardinage
12,2,840,990,LPC,Mecanique
13,2,840,990,LPC,Mecanique
14,2,540,690,LSF,Menuiserie
15,2,540,720,LSF,Jardinage
16,2,810,900,LSF,Mecanique
17,2,840,930,LSF,Musique
18,2,930,1020,LSF,Jardinage
19,3,510,660,LPC,Musique
20,3,540,630,LPC,Mecanique
21,3,840,1020,LPC,Musique
22,3,960,1080,LPC,Mecanique
23,3,540,720,LSF,Jardinage
24,3,540,720,LSF,Musique
25,3,930,1050,LSF,Menuiserie
26,3,960,1080,LSF,Jardinage
27,4,510,630,LPC,Mecanique
28,4,540,660,LPC,Jardinage
29,4,960,1050,LPC,Mecanique
30,4,960,1080,LPC,Menuiserie
31,4,510,630,LSF,Electricite
32,4,570,660,LSF,Jardinage
33,4,810,900,LSF,Jardinage
34,4,840,930,LSF,Menuiserie
35,4,930,1020,LSF,Musique
36,5,510,690,LPC,Electricite
37,5,540,660,LPC,Jardinage
38,5,810,930,LPC,Mecanique
39,5,960,1050,LPC,Jardinage
40,5,960,1050,LPC,Jardinage
41,5,510,630,LSF,Menuiserie
42,5,510,600,LSF,Electricite
43,5,810,900,LSF,Electricite
44,5,810,990,LSF,Mecanique
45,5,1020,1080,LSF,Mecanique
